voltage,current,ammeter internal registance,voltmeter internal registance
-0.2,20.2,4.69,9.97
-0.5,50,6.75,9.97
-0.9,90,6.75,9.97
-2,67,2.75,29.96
0.005,1.4,4.69,2.98
0.015,5.6,4.69,2.98
0.027,9.2,4.69,2.98
0.032,11,4.69,2.98
0.04,13.5,4.69,2.98
0.054,18,4.69,2.98
0.066,22.3,4.69,2.98
0.085,28.5,4.69,2.98
0.077,26,6.75,2.98
0.09,30,6.75,2.98
0.105,37.5,6.75,2.98
0.121,40,6.75,2.98
0.135,45,6.75,2.98
0.15,50,6.75,2.98
0.166,55,6.75,2.98
0.181,60,6.75,2.98
0.211,70,6.75,2.98
0.24,80,6.75,2.98
0.277,90,6.75,2.98
0.62,94,2.75,9.97
0.63,100,2.75,9.97
0.638,110,2.75,9.97
0.64,120,2.75,9.97
0.65,150,2.75,9.97
0.656,175,2.75,9.97
0.664,200,2.75,9.97
0.676,250,2.75,9.97
0.681,300,2.75,9.97
0.72,900,0.88,29.96
0.73,1000,0.88,29.96
0.4,40,2.75,9.97
0.51,50,2.75,9.97
0.6,75,2.75,9.97
0.7,500,0.88,9.97
0.71,640,0.88,9.97
0.78,3000,0.3,9.97
0.84,4900,4.5,9.97
0.9,7600,4.5,9.97
