10.058			(-0.927dB,-95.747a)
15.832			 (2.943dB, -98.729a)
25.146			 (6.804dB, -103.271a)
39.861			(10.473dB, -110.158a)
63.144			(13.757dB, -120.073a)
100.024			(16.363dB, -132.514a)
158.511			(18.084dB, -145.702a)
251.271			(19.049dB, -157.005a)
398.047			(19.501dB, -165.716a)
630.878			(19.697dB, -172.037a)
1000.054		(19.773dB, -176.929a)
1584.925		(19.785dB, 178.815a)
2511.963		(19.747dB, 174.399a)
3981.031		(19.630dB, 168.736a)
6309.524		(19.327dB, 161.004a)
9999.983		(18.650dB, 150.628a)
15848.875		(17.308dB, 137.632a)
25118.887		(15.082dB, 123.864a)
39810.687		(12.062dB, 111.394a)
63095.801		(8.523dB, 101.260a)
100000.016		(4.737dB,	93.110a)
158489.309		(0.869dB,  85.037a)
